Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd,fetched_at
1803330,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,1988,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,5.7 [3.2-9.1],5.7,3.2,9.1,,2017-11-17T08:28:38+01:00,1988,1988-01-01T00:00:00+01:00,1988-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
1955968,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,1983,SEX_BTSX,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,4.5 [2.6-7.2],4.5,2.6,7.2,,2017-11-17T08:31:06+01:00,1983,1983-01-01T00:00:00+01:00,1983-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
2602010,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,2014,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,8.3 [4.8-12.8],8.3,4.8,12.8,,2017-11-17T08:28:39+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
2811404,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,2000,SEX_BTSX,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,7.3 [5.8-9.2],7.3,5.8,9.2,,2017-11-17T08:34:09+01:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
3597381,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,1980,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,4.6 [1.7-9.5],4.6,1.7,9.5,,2017-11-17T08:28:38+01:00,1980,1980-01-01T00:00:00+01:00,1980-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
3598325,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,1996,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,6.8 [4.6-9.6],6.8,4.6,9.6,,2017-11-17T08:28:38+01:00,1996,1996-01-01T00:00:00+01:00,1996-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
3750409,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,1995,SEX_BTSX,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,6.5 [4.9-8.4],6.5,4.9,8.4,,2017-11-17T08:33:16+01:00,1995,1995-01-01T00:00:00+01:00,1995-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
4219685,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,2000,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,7.3 [5.2-10.0],7.3,5.2,10.0,,2017-11-17T08:28:38+01:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
4430382,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,2008,SEX_BTSX,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,8.3 [6.5-10.3],8.3,6.5,10.3,,2017-11-17T08:35:32+01:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
4810533,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,1980,SEX_BTSX,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,4.1 [2.1-7.2],4.1,2.1,7.2,,2017-11-17T08:30:34+01:00,1980,1980-01-01T00:00:00+01:00,1980-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
5026077,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,2007,SEX_MLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,8.4 [6.1-11.3],8.4,6.1,11.3,,2017-11-17T08:25:42+01:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
5324750,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,1984,SEX_MLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,4.3 [2.0-7.9],4.3,2.0,7.9,,2017-11-17T08:25:42+01:00,1984,1984-01-01T00:00:00+01:00,1984-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
