Year,Is_Forecast,State,Region,Tier,Market_Tier,State_Population,State_Demand,State_Demand_M,State_Revenue,State_Revenue_Cr,State_Patients,State_Prevalence,State_Diagnosis_Rate,State_Treatment_Rate,State_Healthcare_Score,State_Hospitals,State_Priority_Score,Treatment_Gap_M,Opportunity_Cr
2019.0,0.0,Uttarakhand,North,Mixed,Tier-5 (Small),10985957.442133414,12058538.592605153,12.058538592605153,187160543.0182602,18.71605430182602,33037.09203453467,0.079,0.5504947916666667,0.6320789930555556,0.4683159722222222,390.0,14.142192710128484,0.3832452676502549,167.86142723081167
2019.0,0.0,Himachal Pradesh,North,Rural,Tier-5 (Small),6866223.401333384,7822786.112291318,7.822786112291318,121417440.8820992,12.14174408820992,21432.29071860635,0.082,0.702951388888889,0.7591261574074075,0.9765046296296298,485.0,22.993292088999933,0.17782734363456063,77.88837651193755
2019.0,0.0,Goa,West,Urban,Tier-5 (Small),1464794.3256177886,5372918.461515208,5.372918461515208,83393052.07902227,8.339305207902227,14720.32455209646,0.264,0.6452864583333334,0.7110720486111112,0.7842881944444445,84.0,17.96343892123403,0.14172195772491317,62.07421748351197
2019.0,0.0,Puducherry,South,Urban,Tier-5 (Small),1464794.3256177886,5352566.497645832,5.352566497645832,83077169.30599567,8.307716930599568,14664.565746974882,0.263,0.5356835937500001,0.619736328125,0.4189453125,47.0,10.477348359304504,0.1742830719141174,76.33598549838342
2019.0,0.0,Tripura,Northeast,Rural,Tier-5 (Small),3845085.104746695,5021847.084768475,5.021847084768475,77944074.24431343,7.794407424431343,13758.485163749248,0.094,0.4427256944444445,0.5422714120370371,0.1090856481481481,41.0,4.034540628752206,0.18601079292668424,81.4727273018877
2019.0,0.0,Manipur,Northeast,Rural,Tier-5 (Small),2929588.651235577,3459833.857793884,3.459833857793884,53700071.41452192,5.3700071414521915,9478.996870668174,0.085,0.4245996093750001,0.5271663411458334,0.0486653645833333,19.0,2.2357054743582765,0.1308925292571869,57.330927814647865
2019.0,0.0,Chandigarh,North,Urban,Tier-5 (Small),1098595.7442133415,3129114.4449165273,3.129114444916527,48566976.35283968,4.856697635283968,8572.91628744254,0.205,0.6334375000000001,0.7011979166666666,0.7447916666666667,60.0,16.2107790974374,0.08477594575976562,37.13186424277733
2019.0,0.0,Meghalaya,Northeast,Rural,Tier-5 (Small),3204237.5872889124,3071874.5465339078,3.0718745465339077,47678556.05370237,4.767855605370237,8416.094648038104,0.069,0.4804166666666667,0.5736805555555555,0.2347222222222222,62.0,5.855243477697547,0.10846355850434028,47.50703862490104
2019.0,0.0,Nagaland,Northeast,Rural,Tier-5 (Small),2105641.843075571,2194196.104667077,2.194196104667077,34056111.46693026,3.405611146693026,6011.496177170074,0.075,0.4253079710144928,0.5277566425120773,0.0510265700483091,14.0,1.8214774555411104,0.08294409852600391,36.32951515438972
2019.0,0.0,Mizoram,Northeast,Rural,Tier-5 (Small),1190145.3895644532,1537845.2698797078,1.5378452698797078,23868892.036822427,2.3868892036822427,4213.274711999199,0.093,0.7100000000000001,0.765,1.0,86.0,20.684493104728272,0.03424456229999999,14.999118287399996
